latitud,longitud,victimas,genero,franja_horaria,fecha
-34.62073702,-58.50751833,1.0,0,9,2018-12-21
-34.63888084,-58.44682986,1.0,1,6,2018-12-22
-34.61381341,-58.36004650,1.0,1,8,2018-12-22
-34.62085945,-58.41509546,1.0,1,17,2018-12-22
-34.57251072,-58.50997604,1.0,1,13,2018-12-25
-34.64047818,-58.48606475,1.0,1,5,2018-12-29
-34.57805810,-58.38526125,1.0,1,8,2019-01-08
-34.65082149,-58.45463662,1.0,1,4,2019-01-09
-34.59718073,-58.49121672,1.0,1,8,2019-01-12
-34.65284605,-58.47325712,1.0,1,19,2019-01-14
-34.63382309,-58.52108101,1.0,1,12,2019-01-19
-34.55509606,-58.41652702,1.0,0,5,2019-01-23
-34.61071660,-58.42891604,1.0,1,19,2019-01-26
-34.69156793,-58.47802293,1.0,1,22,2019-01-30
-34.62200207,-58.37564821,1.0,1,14,2019-01-31
-34.56961468,-58.42668489,2.0,1,7,2019-02-02
-34.56961468,-58.42668489,2.0,1,7,2019-02-02
-34.66252488,-58.51839930,1.0,1,1,2019-02-10
-34.67665828,-58.48432691,1.0,1,3,2019-02-17
-34.64457699,-58.43383830,1.0,1,7,2019-02-20
-34.58657938,-58.51664939,1.0,1,17,2019-02-20
-34.59703502,-58.49613012,1.0,1,6,2019-02-23
-34.63356284,-58.38313603,1.0,1,2,2019-02-24
-34.61632317,-58.39914719,1.0,1,7,2019-03-03
-34.54048625,-58.44927253,1.0,0,23,2019-03-03
-34.55374003,-58.45049163,1.0,1,12,2019-03-06
-34.63572989,-58.41288952,1.0,1,21,2019-03-07
-34.62561234,-58.45743597,1.0,1,22,2019-03-15
-34.62352245,-58.39123782,1.0,1,0,2019-03-15
-34.63637963,-58.52922765,1.0,1,8,2019-03-16
-34.58541957,-58.37208118,1.0,1,7,2019-03-19
-34.60937557,-58.41458534,1.0,1,13,2019-03-22
-34.69153196,-58.47976785,1.0,1,7,2019-03-28
-34.59511714,-58.39990285,1.0,1,11,2019-03-28
-34.60588536,-58.46051346,1.0,0,9,2019-04-06
-34.69153196,-58.47976785,1.0,1,10,2019-04-07
-34.62447891,-58.45457546,1.0,1,16,2019-04-09
-34.59832047,-58.36951669,1.0,1,19,2019-04-12
-34.60443790,-58.46415322,1.0,0,11,2019-04-16
-34.62150748,-58.36607137,1.0,1,1,2019-04-18
-34.65093074,-58.45537373,1.0,1,9,2019-04-21
-34.60053054,-58.37942637,1.0,0,14,2019-04-23
-34.62147504,-58.43680440,1.0,1,22,2019-04-26
-34.61971907,-58.40778291,1.0,1,23,2019-05-01
-34.54628513,-58.45212523,1.0,0,14,2019-05-04
-34.61520391,-58.50512382,1.0,0,11,2019-05-05
-34.63551751,-58.46749188,1.0,1,3,2019-05-09
-34.63679732,-58.44263580,1.0,1,12,2019-05-09
-34.65846419,-58.51140289,1.0,0,20,2019-05-11
-34.62465368,-58.38211431,1.0,1,15,2019-05-14
-34.59832047,-58.36951669,1.0,0,9,2019-05-21
-34.62036547,-58.41635217,1.0,0,12,2019-05-27
